date,n_articles,sentiment_mean,sentiment_std,neg_mean,neu_mean,pos_mean
2016-02-19,1,0.994,,0.023,0.869,0.108
2017-10-05,1,0.997,,0.008,0.925,0.067
2017-11-27,1,0.997,,0.008,0.926,0.065
2017-11-30,1,0.989,,0.021,0.804,0.174
2018-01-31,1,0.995,,0.009,0.937,0.054
2018-03-16,1,0.991,,0.011,0.917,0.072
2018-03-27,1,-0.244,,0.134,0.764,0.101
2018-04-16,1,0.997,,0.008,0.93,0.062
2018-06-22,1,-0.807,,0.138,0.862,0.0
2018-10-23,1,0.995,,0.008,0.941,0.051
2018-11-30,1,0.998,,0.009,0.925,0.066
2019-01-03,2,0.9795,0.017677669529663664,0.044,0.8274999999999999,0.129
2019-02-22,1,0.997,,0.009,0.928,0.064
2019-04-01,1,0.994,,0.008,0.943,0.049
2019-04-16,1,0.906,,0.062,0.855,0.083
2019-04-18,1,-0.949,,0.098,0.832,0.069
2019-04-22,1,-0.924,,0.105,0.819,0.076
2019-04-25,3,0.7543333333333333,0.13836304901719007,0.07066666666666667,0.8436666666666667,0.08566666666666667
2019-04-29,1,-0.987,,0.113,0.823,0.064
2019-05-01,3,0.36200000000000004,0.8554227025278205,0.06966666666666667,0.8516666666666667,0.079
2019-05-07,1,0.906,,0.062,0.856,0.082
2019-05-10,1,-0.987,,0.113,0.823,0.064
2019-05-13,1,0.906,,0.062,0.856,0.082
2019-05-14,1,-0.924,,0.105,0.819,0.076
2019-05-15,2,0.03649999999999998,1.168847509301363,0.08,0.8394999999999999,0.08049999999999999
2019-05-16,1,-0.985,,0.108,0.825,0.066
2019-05-17,1,-0.422,,0.079,0.842,0.078
2019-05-20,1,-0.924,,0.105,0.819,0.076
2019-05-21,1,0.906,,0.062,0.856,0.082
2019-05-22,1,0.863,,0.069,0.846,0.085
2019-05-23,1,-0.993,,0.107,0.839,0.054
2019-05-24,1,0.844,,0.057,0.871,0.073
2019-05-26,1,0.71,,0.071,0.847,0.081
2019-05-27,1,-0.924,,0.105,0.819,0.076
2019-05-29,1,0.975,,0.056,0.847,0.097
2019-05-30,1,-0.966,,0.102,0.828,0.07
2019-05-31,2,-0.705,0.40022243815158587,0.095,0.8345,0.07
2019-06-03,2,0.03149999999999997,1.3512810588474924,0.0785,0.8305,0.091
2019-06-06,1,-0.989,,0.12,0.818,0.062
2019-06-07,1,-0.988,,0.111,0.827,0.062
2019-06-10,1,-0.924,,0.105,0.819,0.076
2019-06-13,1,0.906,,0.062,0.856,0.082
2019-06-14,1,-0.988,,0.111,0.827,0.062
2019-06-16,1,-0.924,,0.105,0.819,0.076
2020-03-23,1,0.994,,0.02,0.869,0.111
2020-03-24,1,0.94,,0.076,0.83,0.094
2020-03-27,2,0.9795,0.0007071067811865089,0.0285,0.901,0.07
